,starts,hprice,cc,vol,hstock,rate,p_def,cc_def
2014Q2,30170.0,185167.66666666663,126.61886666666663,236210.0,19356228.991638105,0.5,78.89990725917175,71.0083
2014Q3,29220.0,191303.66666666663,127.04619999999996,258916.0,19395231.4775135,0.5,78.77719019324586,71.8671
2014Q4,21530.0,191772.66666666663,127.04619999999998,245250.0,19438618.807888974,0.5,78.48559931205361,71.6199
2015Q1,33630.0,191860.66666666663,128.02906666666664,188066.0,19481004.0,0.5,78.10229206285658,71.7655
2015Q2,30450.0,196403.66666666663,128.28546666666665,227262.0,19527660.58976128,0.5,78.29250872017651,71.6435
2015Q3,30810.0,203185.3333333333,128.07179999999997,264120.0,19570361.39646315,0.5,78.4714457779292,71.8592
2015Q4,25700.0,206060.0,128.45639999999997,260052.0,19619855.811972693,0.5,78.66841990339601,72.2063
2016Q1,30500.0,208858.3333333333,130.4221333333333,256165.0,19662123.0,0.5,78.73851768114405,72.5391
2016Q2,33490.0,213557.66666666663,131.3195333333333,196787.0,19716912.94633897,0.5,79.00511577813678,72.6543
2016Q3,35870.0,218061.0,132.4733333333333,245921.0,19771612.83504936,0.3423913043478261,79.65668291478094,73.3998
2016Q4,28300.0,218069.66666666663,134.09719999999996,237149.0,19827862.153413866,0.25,80.08279635169433,73.8607
2017Q1,34940.0,219054.3333333333,135.72106666666664,202736.0,19883492.0,0.25,80.19279253283513,74.1117
2017Q2,35730.0,223552.66666666663,136.27659999999997,227935.0,19945839.007316478,0.25,80.63298698196584,74.0971
2017Q3,34020.0,228504.0,138.2423333333333,250884.0,20003374.375260822,0.25,80.92002190528346,74.0992
2017Q4,30610.0,228313.0,139.31066666666666,243961.0,20070129.45664877,0.4130434782608695,81.29166656791902,74.6645
2018Q1,34990.0,227687.0,141.06273333333334,194062.0,20125719.0,0.5,81.86463075128852,74.8891
2018Q2,34720.0,229992.3333333333,142.38746666666665,217095.0,20183047.4425129,0.5,82.22842807781512,75.5023
2018Q3,39380.0,234412.66666666663,142.38746666666665,240212.0,20236511.34735865,0.6630434782608695,82.64017110342373,75.8819
2018Q4,29100.0,233225.3333333333,143.45579999999995,242014.0,20299791.89848693,0.75,82.86121317334933,76.5282
2019Q1,31900.0,230384.66666666663,144.95146666666665,186586.0,20353327.0,0.75,82.93122744480303,76.6241
2019Q2,31830.0,231450.3333333333,147.00266666666664,207233.0,20414129.56715405,0.75,83.44574288952205,77.4287
2019Q3,35350.0,235192.0,147.6864,234246.0,20472695.38445544,0.75,83.88164521032103,77.8909
2019Q4,23980.0,234399.0,146.66079999999997,234740.0,20536541.37845744,0.75,83.99851953778699,78.309
2020Q1,28050.0,234069.3333333333,146.87446666666665,180476.0,20588097.0,0.6131868131868131,83.5376475752605,78.9433
2020Q2,13560.0,234353.66666666663,147.04539999999997,106105.0,20617546.926500943,0.0999999999999999,83.9675978100524,84.7951
2020Q3,31460.0,241441.3333333333,147.90006666666665,181639.0,20670663.73723733,0.1,84.03076289226121,81.3985
2020Q4,29380.0,247669.0,148.4983333333333,253724.0,20733224.85663024,0.1,84.05354765768888,80.8187
2021Q1,37160.0,251868.66666666663,150.1222,302512.0,20788628.0,0.1,84.88613116930622,81.8943
2021Q2,37720.0,256011.66666666663,153.32719999999995,331628.0,20845453.00054433,0.0999999999999999,85.15741926481411,80.9601
2021Q3,38530.0,259259.66666666663,158.02786666666665,262709.0,20898886.94356297,0.1,86.44298098611326,81.8519
2021Q4,28770.0,264401.0,161.91659999999996,211890.0,20957308.84951095,0.1260869565217391,88.40442490923499,82.8642
2022Q1,35670.0,271240.3333333333,166.53179999999998,210251.0,21011138.0,0.45,89.79722371874963,84.0167
2022Q2,46910.0,278004.0,172.17259999999996,219489.0,21067401.5254898,0.9478021978021978,92.8227703380221,85.7337
2022Q3,35310.0,288668.3333333333,174.90753333333336,247694.0,21117819.4741489,1.6141304347826086,94.42347871048648,87.1127
2022Q4,24880.0,289398.0,178.62533333333332,239261.0,21177923.168210734,2.823369565217391,97.0736789809972,89.3153
2023Q1,28840.0,283105.3333333333,183.53966666666665,166276.0,21222472.0,3.8472222222222223,98.94785972701476,90.7052
2023Q2,53690.0,280495.0,186.18913333333333,149994.0,21270797.64577878,4.43956043956044,99.94771409701328,92.0593
2023Q3,17530.0,284788.0,187.12926666666664,177893.0,21320483.587317187,5.1603260869565215,100.42320242302333,92.7305
2023Q4,12800.0,280945.6666666667,186.06093333333328,171221.0,21371166.168061607,5.25,100.66582791225504,92.6789
2024Q1,17100.0,277322.0,188.19759999999997,150630.0,21412045.0,5.25,102.126746352239,93.9827
2024Q2,18690.0,280126.6666666667,191.9581333333333,174849.0,21465400.74504619,5.25,102.68933629218432,95.0726
2024Q3,21440.0,286341.3333333333,192.25726666666665,208905.0,21508615.783104256,5.084239130434782,103.17232163657862,96.5011
2024Q4,18780.0,287148.0,193.28286666666665,220995.0,21556371.973435257,4.850543478260869,104.07704606146592,97.1477
2025Q1,21960.0,288935.3333333333,195.2913333333333,248423.0,21596809.0,4.6,105.50142915565004,97.8048
2025Q2,23360.0,284692.6666666667,196.9152,150018.0,21629821.94606717,4.351648351648351,106.36139196887348,98.8643
2025Q3,22880.0,292045.0,198.19719999999995,185667.0,21657178.910693426,4.100543478260869,107.1650362626247,99.6848
2025Q4,25380.0,292265.6666666667,198.9664,164848.0,21692321.724248797,3.996835443037975,107.58049553806688,100.2357
2026Q1,,290280.3333333333,199.3937333333333,,,,,101.2151
