,,,,,,,,,,
,Variable name,,House building,Nominal house price,Nominal construction cost,Transactions,Private housing stock,Interest rate,House price (income) deflator,Construction cost deflator
,Variable description,,"Private enterprise starts, # homes","Nominal house prices, £","Nominal construction cost, index","Sales, # homes","Owner-occupied + privated rented, # homes","BOE official base rate, %","Nominal disposable income / real disposable  income, index","GDP deflator, index"
,Variable geography,,Great Britain,United Kingdom,Great Britain,England & Wales,Great Britain,United Kingdom,United Kingdom,United Kingdom
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Q4," 32,310 "," 242,785 ",161.92," 211,890 "," 24,193 ",0.13,88.40,85.79
,2022,Q1," 39,550 "," 248,524 ",166.53," 210,251 "," 24,247 ",0.45,89.80,86.98
,,Q2," 52,910 "," 255,108 ",172.17," 219,489 "," 24,318 ",0.95,92.82,88.76
,,Q3," 39,570 "," 264,585 ",174.91," 247,694 "," 24,410 ",1.62,94.42,90.19
,,Q4," 28,520 "," 264,727 ",178.63," 239,261 "," 24,485 ",2.81,97.07,92.47
,2023,Q1," 31,840 "," 258,538 ",183.54," 166,276 "," 24,550 ",3.85,98.95,93.91
,,Q2," 57,510 "," 257,361 ",186.19," 149,994 "," 24,547 ",4.44,99.95,95.31
,,Q3," 20,930 "," 261,701 ",187.13," 177,893 "," 24,547 ",5.16,100.42,96.00
,,Q4," 15,750 "," 258,225 ",186.06," 171,221 "," 24,547 ",5.25,100.67,95.95
,2024,Q1," 20,070 "," 255,229 ",188.20," 150,630 "," 24,547 ",5.25,102.13,97.34
,,Q2," 21,510 "," 258,209 ",191.96," 174,849 "," 24,547 ",5.25,102.69,98.31
,,Q3," 24,980 "," 264,105 ",192.26," 208,905 "," 24,547 ",5.08,103.17,99.71
,,Q4," 21,750 "," 264,586 ",193.28," 220,995 "," 24,547 ",4.85,104.08,100.65
,2025,Q1," 25,220 "," 266,118 ",195.29," 232,701 "," 24,547 ",4.60,105.50,101.33
,,Q2," 26,580 "," 264,675 ",196.96," 125,874 "," 24,547 ",4.35,106.36,102.35
,,Q3," 25,400 "," 271,022 ",198.20," 162,023 "," 24,547 ",4.10,107.17,103.23
,,Q4," 28,310 "," 270,950 ",199.31," 50,549 "," 24,547 ",3.97,107.58,103.82
