date,year,quarter,starts_all,starts_private,comp_all,comp_private,hpi_index,hpi_price,hpi_index_rebased,base_rate,transactions_england,transactions_spliced_flag,housing_stock_eng,epc_lodgements,cpih_hist_flag,hpi_real,lrprc,cc_real,lrcc,cc_spliced_flag,lhstarts,lvol,lstock
1985-07-01,1985,3,45750,39110,39340,31190,1835.2738247888642,34700.25197481182,17.895950207206532,11.570666666666668,,,18728582.00413135,,1,41.598667291801746,3.72806813049928,54.210339695199806,3.992871659535584,1,10.57413346774956,,16.745561364353662
1985-10-01,1985,4,40730,33810,45070,36460,1874.2090450862058,35436.41566698892,18.27561168024476,11.375,,,18772819.158179976,,1,42.25131736630674,3.743635533584704,54.981162391082115,4.0069906245849465,1,10.428511895701932,,16.74792059217961
1986-01-01,1986,1,37360,30860,36750,30410,1885.347729243435,35647.019197482885,18.384226173820128,12.115833333333333,,,18824000.0,,1,42.065648736718195,3.739231463128434,55.99597491315208,4.025279811601051,1,10.337216125917152,,16.750643209389334
1986-04-01,1986,2,52180,44470,41840,34050,1957.699002012464,37014.99348114188,19.089731127584464,10.325766666666667,,,18882393.832940593,,1,42.94339607752252,3.7598828782269176,55.91463263051427,4.0238261103166435,1,10.702570083504742,,16.753740502643176
1986-07-01,1986,3,51230,43910,41430,34750,2023.0760536199844,38251.103392104196,19.727229709245297,9.875,,,18946950.59696409,,1,44.22330817720328,3.7892519844176342,57.0961861923558,4.044737322703728,1,10.689897363555763,,16.75715355817795
1986-10-01,1986,4,41000,34750,50340,41860,2094.0726215590803,39593.463732865275,20.419524792169387,10.730066666666668,,,19013766.106233194,,1,45.53633609563354,3.818510602757609,57.65357528064106,4.0544522618023455,1,10.455934850992938,,16.760673806691194
1987-01-01,1987,1,45620,39030,41360,35580,2162.2092570794275,40881.7501941752,21.08393236998628,10.670466666666668,331065.4640508561,1,19078000.0,,1,46.418847908314774,3.8377055816739025,58.43899413818158,4.067983374862052,1,10.57208586017466,12.710071411392677,16.76404639668729
1987-04-01,1987,2,52340,44760,43220,36370,2273.545924398759,42986.83683456307,22.169588051264412,9.218433333333333,357527.6710310517,1,19135218.54067479,,1,48.12872735753774,3.873879241193929,58.956800552975395,4.076804981703397,1,10.709070162425862,12.786968039606318,16.76704109776835
1987-07-01,1987,3,53020,47370,43820,37020,2350.0616601635083,44433.55027601935,22.91570112650061,9.491666666666667,383370.2283068658,1,19187876.041998465,,1,49.65983617815193,3.905196481205307,60.51421547617674,4.1028783039848555,1,10.765744395917798,12.856756454796846,16.769789181399698
1987-10-01,1987,4,45820,40040,49890,42890,2345.897197167788,44354.81111822207,22.87509300502874,9.027933333333332,390737.628498829,1,19237197.982207023,,1,49.194196902515735,3.8957756674058572,61.86801254221822,4.125003285901324,1,10.597634233429156,12.875791586871,16.7723563575756
1988-01-01,1988,1,50810,45040,46820,41120,2384.8324174651293,45090.97481039916,23.254754478066967,8.628633333333333,430483.001794367,1,19284000.0,,0,49.43901470275081,3.9007398837993668,62.95485724811498,4.142417917928498,1,10.715306262813572,12.972663117272159,16.77478629450765
1988-04-01,1988,2,60540,54280,47000,40130,2587.98796770216,48932.11758053457,25.235745849628543,7.9543333333333335,451332.63204525487,1,19329141.2957205,,0,52.5700893141828,3.962147313787167,64.08418022167025,4.160197535053004,1,10.901911113948806,13.019959889970982,16.777124426799965
1988-07-01,1988,3,55580,49640,49790,43160,2874.633474865449,54351.83816482294,28.030856668529818,10.8898,402850.9125057344,1,19374188.04729145,,0,57.83051051679665,4.057516500019743,66.63258191794476,4.199193675905397,1,10.812552239318544,12.906321828328094,16.77945222508898
1988-10-01,1988,4,50360,44520,50200,43380,3027.664946394949,57245.26504773551,29.523082819002237,12.268933333333335,335124.32274051197,1,19420634.373048484,,0,60.00126537012329,4.094365651501775,68.289935982219,4.223762405532509,1,10.70369380538948,12.722256854620179,16.781846686259353
1989-01-01,1989,1,46540,40220,44750,39190,3148.7354187886153,59534.39261116766,30.70365386853992,12.875,290344.16799190996,1,19469000.0,,0,61.731424726643866,4.122793116111017,70.17970302333701,4.251059138503725,1,10.602119663326643,12.578822284467625,16.784334014961047
1989-04-01,1989,2,48430,41780,42210,36680,3292.033085243779,62243.77857103595,32.10096465075277,13.222233333333334,278103.2790211699,1,19518175.535084948,,0,63.185609390482696,4.146076575707662,71.12215261312863,4.264398858086307,1,10.640173035110557,12.535747830951431,16.78685666814064
1989-07-01,1989,3,38870,33390,42850,36190,3320.481886672378,62781.67137189216,32.378371938397976,13.760866666666667,305175.94814835093,1,19565783.74918843,,0,63.23373777487587,4.146837984270473,72.51420642289993,4.283782493325495,1,10.4160117329377,12.628643768433644,16.78929287156127
1989-10-01,1989,4,31380,26070,45140,38820,3252.4455996579513,61495.28223968579,31.7149428695322,14.806833333333335,312801.6207871157,1,19606639.70920917,,0,60.907106192624354,4.10934985415853,73.22245937819498,4.2935021960134785,1,10.168540506927547,12.653324469184357,16.79137882750824
1990-01-01,1990,1,35080,29470,41020,34840,3151.4950027014424,59586.56916151526,30.730562864695983,14.875,309298.0989000687,1,19635000.0,,0,58.196973455411474,4.063833350900877,73.94887266567706,4.303373944492632,1,10.29112807573174,12.642060812194746,16.792824245994247
1990-04-01,1990,2,36190,30440,38630,31540,3119.5340035656086,58982.26984203483,30.418907763761244,14.875,246262.2676054118,1,19647884.647970453,,0,55.43688855670887,4.015245230592223,72.42172774465456,4.282506361338949,1,10.323512811975622,12.414152375480427,16.793480238981928
1990-07-01,1990,3,33420,28310,40430,33010,3027.664946394949,57245.26504773551,29.523082819002237,14.875,257033.14739277557,1,19652361.228954576,,0,52.999322373609786,3.970279128066799,72.30224893717634,4.28085523431271,1,10.250970378105945,12.456960333742392,16.793708053383778
1990-10-01,1990,4,28780,24510,43830,36660,2904.6376781358235,54919.139566784164,28.32343084491753,13.947466666666665,279292.55728410976,1,19657069.754339244,,0,49.80258597716376,3.9080669099347185,71.35848117931947,4.267716204123156,1,10.106836476522158,12.540015103830662,16.793947615508664
1991-01-01,1991,1,30230,25700,37150,31280,2884.9687222622433,54547.25079701261,28.131636764826062,13.383333333333333,285691.1805906396,1,19671000.0,,0,49.148443439305176,3.894845176494637,71.03535039102698,4.263177645965173,1,10.154246270883311,12.562666718266158,16.794656027913867
